20 20 203 false false
LIS 10 13 15 19 false
WILK 2 19 9 62 false
WILK 1 18 9 63 false
WILK 0 16 9 64 false
WILK 0 18 9 67 false
WILK 0 19 9 70 false
WILK 1 16 9 161 false
WILK 0 15 9 178 false
WILK 1 17 9 191 false
WILK 0 17 9 191 false
WILK 0 8 9 192 false
WILK 2 18 9 193 false
WILK 1 19 9 193 false
WILK 1 15 9 195 false
WILK 3 16 9 196 false
WILK 0 7 9 197 false
WILK 2 16 9 197 false
WILK 3 19 9 198 false
WILK 1 6 9 200 false
WILK 2 17 9 201 false
WILK 0 6 9 202 false
WILCZE_JAGODY 6 3 99 0 false
WILCZE_JAGODY 14 11 99 0 false
WILCZE_JAGODY 13 6 99 0 false
WILCZE_JAGODY 12 0 99 0 false
WILCZE_JAGODY 16 10 99 0 false
WILCZE_JAGODY 12 18 99 0 false
WILCZE_JAGODY 6 2 99 0 false
WILCZE_JAGODY 16 8 99 0 false
TRAWA 19 1 0 0 false
WILCZE_JAGODY 7 8 99 0 false
WILCZE_JAGODY 17 8 99 0 false
WILCZE_JAGODY 6 19 99 0 false
WILCZE_JAGODY 19 18 99 0 false
WILCZE_JAGODY 16 18 99 0 false
TRAWA 19 8 0 0 false
TRAWA 19 0 0 0 false
WILCZE_JAGODY 12 15 99 0 false
WILCZE_JAGODY 17 16 99 0 false
WILCZE_JAGODY 4 13 99 0 false
WILCZE_JAGODY 8 10 99 0 false
WILCZE_JAGODY 7 10 99 0 false
WILCZE_JAGODY 7 5 99 0 false
WILCZE_JAGODY 15 12 99 0 false
WILCZE_JAGODY 13 1 99 0 false
WILCZE_JAGODY 18 7 99 1 false
WILCZE_JAGODY 14 12 99 1 false
TRAWA 19 2 0 1 false
TRAWA 18 0 0 1 false
WILCZE_JAGODY 5 2 99 2 false
TRAWA 19 9 0 2 false
WILCZE_JAGODY 12 6 99 3 false
TRAWA 18 8 0 4 false
WILCZE_JAGODY 17 7 99 4 false
TRAWA 18 9 0 4 false
WILCZE_JAGODY 11 0 99 5 false
WILCZE_JAGODY 11 15 99 6 false
WILCZE_JAGODY 12 7 99 6 false
WILCZE_JAGODY 5 3 99 7 false
WILCZE_JAGODY 10 0 99 7 false
WILCZE_JAGODY 13 0 99 8 false
TRAWA 18 10 0 8 false
WILCZE_JAGODY 5 4 99 8 false
WILCZE_JAGODY 4 3 99 9 false
WILCZE_JAGODY 14 0 99 9 false
TRAWA 12 17 0 10 false
TRAWA 17 9 0 11 false
WILCZE_JAGODY 17 18 99 12 false
WILCZE_JAGODY 13 12 99 12 false
WILCZE_JAGODY 14 1 99 12 false
WILCZE_JAGODY 17 19 99 13 false
WILCZE_JAGODY 5 5 99 15 false
TRAWA 16 11 0 15 false
WILCZE_JAGODY 12 19 99 16 false
TRAWA 15 11 0 16 false
WILCZE_JAGODY 15 10 99 17 false
WILCZE_JAGODY 12 1 99 20 false
WILCZE_JAGODY 16 7 99 23 false
WILCZE_JAGODY 11 19 99 23 false
WILCZE_JAGODY 4 2 99 25 false
WILCZE_JAGODY 18 18 99 25 false
WILCZE_JAGODY 16 9 99 26 false
WILCZE_JAGODY 5 19 99 26 false
WILCZE_JAGODY 16 6 99 26 false
WILCZE_JAGODY 13 7 99 27 false
WILCZE_JAGODY 18 19 99 30 false
WILCZE_JAGODY 15 7 99 31 false
WILCZE_JAGODY 5 1 99 32 false
WILCZE_JAGODY 15 9 99 32 false
TRAWA 15 6 0 32 false
WILCZE_JAGODY 19 19 99 35 false
WILCZE_JAGODY 4 5 99 36 false
WILCZE_JAGODY 4 14 99 38 false
WILCZE_JAGODY 12 8 99 38 false
WILCZE_JAGODY 5 6 99 39 false
WILCZE_JAGODY 6 4 99 44 false
WILCZE_JAGODY 6 5 99 44 false
WILCZE_JAGODY 4 4 99 49 false
