20 20 76 true false
LIS 3 6 144 0 false
LIS 13 9 6 0 false
LIS 15 10 30 11 false
WILK 19 19 9 30 false
WILK 17 17 9 34 false
WILK 18 19 9 45 false
WILK 17 18 9 47 false
WILK 16 18 9 57 false
WILK 12 14 9 67 false
WILK 19 18 9 68 false
WILK 19 17 9 71 false
WILK 16 19 9 71 false
WILK 16 16 9 72 false
WILK 18 18 9 72 false
WILK 18 17 9 74 false
WILK 17 19 9 74 false
CZLOWIEK 4 2 191 0 false 0 0 false true
OWCA 6 1 112 0 false
WILCZE_JAGODY 19 0 99 0 false
WILCZE_JAGODY 12 2 99 0 false
WILCZE_JAGODY 5 8 99 0 false
WILCZE_JAGODY 13 4 99 0 false
WILCZE_JAGODY 11 7 99 0 false
WILCZE_JAGODY 11 19 99 0 false
WILCZE_JAGODY 17 4 99 0 false
WILCZE_JAGODY 13 18 99 0 false
GUARANA 13 3 0 0 false
WILCZE_JAGODY 17 11 99 0 false
WILCZE_JAGODY 5 4 99 0 false
WILCZE_JAGODY 13 17 99 0 false
WILCZE_JAGODY 11 12 99 0 false
WILCZE_JAGODY 18 15 99 0 false
WILCZE_JAGODY 14 9 99 0 false
WILCZE_JAGODY 2 19 99 0 false
WILCZE_JAGODY 3 18 99 0 false
WILCZE_JAGODY 11 10 99 0 false
WILCZE_JAGODY 9 9 99 0 false
WILCZE_JAGODY 12 6 99 0 false
TRAWA 10 7 0 0 false
WILCZE_JAGODY 13 16 99 0 false
MLECZ 1 12 0 0 false
BARSZCZ_SOSNOWSKIEGO 18 0 10 0 false
WILCZE_JAGODY 15 14 99 0 false
WILCZE_JAGODY 13 8 99 0 false
WILCZE_JAGODY 1 17 99 0 false
TRAWA 12 4 0 0 false
WILCZE_JAGODY 12 19 99 0 false
MLECZ 7 4 0 0 false
GUARANA 11 11 0 0 false
WILCZE_JAGODY 8 8 99 0 false
WILCZE_JAGODY 16 8 99 0 false
WILCZE_JAGODY 19 1 99 1 false
GUARANA 12 3 0 1 false
GUARANA 2 18 0 1 false
WILCZE_JAGODY 10 12 99 2 false
GUARANA 12 11 0 2 false
TRAWA 13 13 0 2 false
WILCZE_JAGODY 10 19 99 3 false
WILCZE_JAGODY 12 18 99 3 false
TRAWA 13 12 0 3 false
WILCZE_JAGODY 10 10 99 4 false
GUARANA 12 12 0 4 false
WILCZE_JAGODY 15 13 99 5 false
WILCZE_JAGODY 18 1 99 5 false
TRAWA 12 13 0 5 false
WILCZE_JAGODY 12 17 99 5 false
TRAWA 19 6 0 5 false
WILCZE_JAGODY 11 2 99 6 false
GUARANA 3 16 0 6 false
GUARANA 2 7 0 7 false
GUARANA 10 11 0 7 false
GUARANA 1 18 0 7 false
GUARANA 1 16 0 7 false
MLECZ 0 12 0 8 false
TRAWA 17 8 0 8 false
TRAWA 10 4 0 9 false
GUARANA 12 10 0 9 false
TRAWA 11 13 0 9 false
GUARANA 9 3 0 9 false
GUARANA 4 17 0 9 false
WILCZE_JAGODY 13 6 99 10 false
WILCZE_JAGODY 19 2 99 10 false
GUARANA 12 1 0 10 false
GUARANA 3 12 0 11 false
WILCZE_JAGODY 16 13 99 11 false
WILCZE_JAGODY 11 1 99 11 false
GUARANA 4 16 0 11 false
GUARANA 12 9 0 11 false
TRAWA 11 4 0 12 false
TRAWA 9 4 0 12 false
GUARANA 1 19 0 12 false
TRAWA 17 7 0 12 false
GUARANA 9 2 0 12 false
TRAWA 10 3 0 12 false
TRAWA 10 13 0 12 false
TRAWA 2 8 0 12 false
WILCZE_JAGODY 9 10 99 13 false
GUARANA 0 18 0 13 false
TRAWA 12 16 0 13 false
TRAWA 8 4 0 13 false
TRAWA 18 4 0 13 false
GUARANA 17 3 0 13 false
TRAWA 10 14 0 13 false
WILCZE_JAGODY 10 9 99 14 false
GUARANA 0 16 0 14 false
GUARANA 5 17 0 14 false
GUARANA 9 1 0 14 false
GUARANA 5 16 0 14 false
GUARANA 12 8 0 14 false
GUARANA 0 19 0 14 false
TRAWA 4 7 0 14 false
TRAWA 10 15 0 14 false
WILCZE_JAGODY 11 18 99 15 false
WILCZE_JAGODY 9 8 99 15 false
TRAWA 9 7 0 15 false
WILCZE_JAGODY 13 7 99 15 false
GUARANA 5 12 0 15 false
WILCZE_JAGODY 16 14 99 15 false
GUARANA 11 9 0 15 false
TRAWA 16 7 0 15 false
GUARANA 0 11 0 15 false
GUARANA 0 17 0 15 false
GUARANA 6 6 0 15 false
GUARANA 12 7 0 15 false
TRAWA 11 16 0 15 false
TRAWA 10 16 0 15 false
MLECZ 0 0 0 16 false
WILCZE_JAGODY 13 5 99 16 false
GUARANA 11 3 0 16 false
TRAWA 19 12 0 16 false
GUARANA 0 15 0 16 false
TRAWA 8 5 0 16 false
TRAWA 9 15 0 16 false
TRAWA 11 17 0 16 false
TRAWA 10 17 0 16 false
GUARANA 3 13 0 17 false
TRAWA 18 6 0 17 false
TRAWA 9 13 0 17 false
GUARANA 7 5 0 17 false
TRAWA 5 7 0 17 false
TRAWA 9 6 0 17 false
GUARANA 0 14 0 17 false
WILCZE_JAGODY 14 8 99 18 false
WILCZE_JAGODY 10 18 99 18 false
TRAWA 9 5 0 18 false
TRAWA 18 3 0 18 false
GUARANA 6 17 0 18 false
GUARANA 6 16 0 18 false
TRAWA 4 8 0 18 false
TRAWA 8 7 0 18 false
GUARANA 5 6 0 18 false
GUARANA 4 6 0 18 false
TRAWA 8 6 0 18 false
TRAWA 10 6 0 19 false
GUARANA 18 2 0 19 false
WILCZE_JAGODY 17 14 99 19 false
TRAWA 9 16 0 19 false
TRAWA 9 14 0 19 false
GUARANA 6 14 0 19 false
GUARANA 7 6 0 19 false
TRAWA 19 3 0 19 false
GUARANA 6 18 0 19 false
TRAWA 7 7 0 19 false
WILCZE_JAGODY 18 16 99 20 false
WILCZE_JAGODY 3 19 99 20 false
TRAWA 12 5 0 20 false
GUARANA 3 15 0 20 false
GUARANA 9 11 0 20 false
TRAWA 19 4 0 20 false
GUARANA 5 18 0 20 false
GUARANA 11 8 0 20 false
WILCZE_JAGODY 14 5 99 20 false
TRAWA 6 7 0 20 false
GUARANA 4 10 0 20 false
GUARANA 7 16 0 20 false
TRAWA 11 6 0 20 false
TRAWA 8 14 0 20 false
TRAWA 10 8 0 21 false
WILCZE_JAGODY 8 9 99 21 false
TRAWA 10 5 0 21 false
GUARANA 16 3 0 21 false
GUARANA 6 19 0 21 false
TRAWA 11 5 0 21 false
GUARANA 5 10 0 21 false
WILCZE_JAGODY 14 18 99 22 false
GUARANA 4 18 0 22 false
GUARANA 5 14 0 22 false
GUARANA 17 2 0 22 false
TRAWA 14 7 0 22 false
GUARANA 2 13 0 22 false
GUARANA 1 14 0 22 false
TRAWA 16 2 0 22 false
TRAWA 4 9 0 22 false
WILCZE_JAGODY 18 14 99 22 false
GUARANA 7 18 0 22 false
GUARANA 4 15 0 22 false
WILCZE_JAGODY 14 4 99 23 false
GUARANA 1 15 0 23 false
GUARANA 5 15 0 23 false
GUARANA 7 13 0 23 false
GUARANA 3 14 0 23 false
TRAWA 9 12 0 23 false
TRAWA 17 1 0 23 false
GUARANA 11 0 0 23 false
GUARANA 7 17 0 23 false
GUARANA 2 15 0 23 false
GUARANA 7 12 0 23 false
WILCZE_JAGODY 8 10 99 23 false
GUARANA 2 14 0 23 false
GUARANA 8 18 0 23 false
GUARANA 4 14 0 23 false
TRAWA 19 5 0 24 false
WILCZE_JAGODY 9 18 99 24 false
GUARANA 14 1 0 24 false
TRAWA 6 8 0 24 false
GUARANA 8 16 0 24 false
GUARANA 2 12 0 24 false
TRAWA 5 9 0 24 false
GUARANA 6 15 0 24 false
GUARANA 8 13 0 24 false
TRAWA 8 12 0 24 false
WILCZE_JAGODY 4 4 99 25 false
TRAWA 9 17 0 25 false
GUARANA 7 14 0 25 false
TRAWA 8 15 0 25 false
GUARANA 8 17 0 25 false
GUARANA 2 16 0 25 false
GUARANA 2 17 0 26 false
GUARANA 3 17 0 26 false
GUARANA 3 7 0 26 false
GUARANA 0 13 0 26 false
TRAWA 7 8 0 26 false
TRAWA 15 2 0 26 false
GUARANA 8 19 0 26 false
GUARANA 6 10 0 26 false
GUARANA 4 12 0 27 false
GUARANA 7 19 0 27 false
GUARANA 1 13 0 27 false
GUARANA 7 15 0 27 false
GUARANA 7 10 0 27 false
GUARANA 9 19 0 27 false
WILCZE_JAGODY 13 19 99 28 false
GUARANA 5 19 0 28 false
GUARANA 3 10 0 28 false
GUARANA 4 13 0 28 false
TRAWA 6 9 0 28 false
TRAWA 14 2 0 28 false
GUARANA 13 1 0 29 false
TRAWA 18 7 0 29 false
TRAWA 3 8 0 29 false
WILCZE_JAGODY 4 19 99 29 false
GUARANA 1 2 0 29 false
GUARANA 7 9 0 29 false
GUARANA 3 9 0 29 false
GUARANA 14 3 0 30 false
TRAWA 2 9 0 30 false
GUARANA 5 13 0 30 false
GUARANA 15 3 0 30 false
GUARANA 9 0 0 31 false
GUARANA 6 13 0 31 false
TRAWA 13 2 0 31 false
GUARANA 0 2 0 31 false
TRAWA 2 10 0 31 false
WILCZE_JAGODY 16 4 99 32 false
GUARANA 10 1 0 32 false
WILCZE_JAGODY 10 2 99 33 false
GUARANA 10 0 0 33 false
GUARANA 6 12 0 33 false
GUARANA 0 1 0 33 false
GUARANA 12 0 0 35 false
GUARANA 8 11 0 35 false
GUARANA 3 1 0 35 false
GUARANA 3 0 0 35 false
GUARANA 1 1 0 35 false
TRAWA 14 6 0 36 false
GUARANA 2 1 0 36 false
TRAWA 19 7 0 37 false
GUARANA 7 11 0 37 false
GUARANA 5 11 0 38 false
GUARANA 6 11 0 38 false
GUARANA 13 0 0 38 false
TRAWA 18 8 0 39 false
GUARANA 4 11 0 39 false
GUARANA 4 1 0 39 false
GUARANA 2 0 0 39 false
GUARANA 1 0 0 39 false
GUARANA 3 11 0 40 false
TRAWA 18 9 0 40 false
GUARANA 15 4 0 40 false
TRAWA 2 11 0 40 false
GUARANA 14 0 0 40 false
GUARANA 0 3 0 41 false
GUARANA 1 11 0 43 false
TRAWA 19 8 0 43 false
TRAWA 19 9 0 44 false
TRAWA 19 10 0 46 false
GUARANA 5 3 0 46 false
GUARANA 4 3 0 47 false
TRAWA 15 0 0 47 false
GUARANA 1 5 0 47 false
GUARANA 6 0 0 48 false
GUARANA 7 0 0 49 false
GUARANA 3 5 0 49 false
WILCZE_JAGODY 16 5 99 49 false
GUARANA 4 5 0 50 false
GUARANA 2 5 0 50 false
TRAWA 19 11 0 51 false
TRAWA 15 1 0 51 false
GUARANA 7 1 0 51 false
GUARANA 6 5 0 52 false
GUARANA 8 0 0 52 false
TRAWA 18 10 0 52 false
TRAWA 17 6 0 53 false
TRAWA 18 12 0 53 false
TRAWA 18 11 0 53 false
GUARANA 6 4 0 53 false
TRAWA 18 5 0 54 false
TRAWA 16 6 0 54 false
GUARANA 5 5 0 54 false
TRAWA 16 1 0 54 false
GUARANA 1 3 0 54 false
WILCZE_JAGODY 17 5 99 55 false
GUARANA 6 3 0 55 false
TRAWA 16 0 0 56 false
GUARANA 8 1 0 57 false
TRAWA 17 0 0 57 false
GUARANA 15 5 0 57 false
TRAWA 15 6 0 57 false
WILCZE_JAGODY 14 17 99 58 false
GUARANA 8 2 0 58 false
TRAWA 19 13 0 59 false
GUARANA 2 2 0 59 false
TRAWA 15 7 0 60 false
GUARANA 2 3 0 60 false
TRAWA 16 12 0 61 false
TRAWA 8 3 0 61 false
GUARANA 7 2 0 61 false
GUARANA 7 3 0 61 false
WILCZE_JAGODY 17 15 99 62 false
TRAWA 16 11 0 63 false
TRAWA 18 13 0 65 false
TRAWA 17 12 0 65 false
GUARANA 0 10 0 66 false
WILCZE_JAGODY 15 8 99 66 false
TRAWA 0 9 0 66 false
TRAWA 15 11 0 67 false
TRAWA 1 10 0 67 false
TRAWA 19 14 0 67 false
TRAWA 17 13 0 67 false
TRAWA 13 14 0 68 false
TRAWA 17 10 0 68 false
TRAWA 1 9 0 68 false
TRAWA 19 15 0 68 false
WILCZE_JAGODY 15 12 99 69 false
GUARANA 0 7 0 69 false
GUARANA 5 2 0 69 false
WILCZE_JAGODY 14 16 99 70 false
TRAWA 14 12 0 70 false
GUARANA 0 5 0 70 false
WILCZE_JAGODY 15 9 99 71 false
GUARANA 0 4 0 71 false
GUARANA 1 4 0 72 false
GUARANA 0 6 0 72 false
WILCZE_JAGODY 13 15 99 73 false
TRAWA 14 13 0 73 false
GUARANA 5 0 0 73 false
GUARANA 2 4 0 73 false
TRAWA 14 14 0 73 false
WILCZE_JAGODY 14 15 99 73 false
TRAWA 11 14 0 74 false
WILCZE_JAGODY 14 19 99 74 false
TRAWA 0 8 0 74 false
TRAWA 14 11 0 74 false
GUARANA 5 1 0 74 false
GUARANA 3 4 0 74 false
GUARANA 13 11 0 75 false
GUARANA 1 7 0 75 false
TRAWA 1 8 0 75 false
GUARANA 3 3 0 75 false
TRAWA 19 16 0 75 false
TRAWA 14 10 0 75 false
WILK 17 16 9 76 false
WILK 15 18 9 76 false
GUARANA 2 6 0 76 false
TRAWA 17 9 0 76 false
TRAWA 11 15 0 76 false
GUARANA 4 0 0 76 false
GUARANA 1 6 0 76 false
GUARANA 3 2 0 76 false
TRAWA 16 10 0 76 false
